photo_lon,photo_lat,detected_age,sentiment,sentiment_score,z_height
12.35007,45.436511,29,Negative,0.8422209024429321,-0.8422209024429321
12.35007,45.436511,27,Negative,0.939513385295868,-0.939513385295868
12.35007,45.436511,35,Negative,0.9829401969909668,-0.9829401969909668
12.35007,45.436511,37,Negative,0.8917787075042725,-0.8917787075042725
12.35007,45.436511,34,Negative,0.5327527523040771,-0.5327527523040771
12.357623,45.429577,27,Positive,0.6345024108886719,0.6345024108886719
12.349984,45.436375,27,Negative,0.8988182544708252,-0.8988182544708252
12.349984,45.436375,36,Negative,0.7354992032051086,-0.7354992032051086
12.349984,45.436375,35,Negative,0.5414424538612366,-0.5414424538612366
12.349984,45.436375,26,Positive,0.6529942154884338,0.6529942154884338
12.349984,45.436375,30,Negative,0.9875949621200562,-0.9875949621200562
12.349984,45.436375,32,Positive,0.6981735229492188,0.6981735229492188
12.349984,45.436375,30,Negative,0.7675949931144714,-0.7675949931144714
12.349821,45.432493,25,Positive,0.9931464791297911,0.9931464791297911
12.356473,45.428887,28,Positive,0.918139100074768,0.918139100074768
12.35142,45.431748,26,Positive,0.6156463027000427,0.6156463027000427
12.355445,45.434636,33,Positive,0.6031995415687561,0.6031995415687561
12.353372,45.438102,24,Negative,0.994575023651123,-0.994575023651123
12.352216,45.433266,32,Negative,0.7669452428817749,-0.7669452428817749
12.349827,45.434697,33,Positive,0.7090025544166565,0.7090025544166565
12.358772,45.437294,28,Positive,0.8744575381278992,0.8744575381278992
12.350072,45.434777,32,Negative,0.5555652379989624,-0.5555652379989624
12.349902,45.434597,31,Negative,0.7542831301689148,-0.7542831301689148
12.349958,45.434636,31,Negative,0.9727888107299804,-0.9727888107299804
12.350044,45.434697,38,Negative,0.813758134841919,-0.813758134841919
12.350077,45.434764,29,Positive,0.8504614233970642,0.8504614233970642
12.35307,45.43112,33,Negative,0.9970671534538268,-0.9970671534538268
12.358758,45.439056,34,Negative,0.9993367791175842,-0.9993367791175842
12.355591,45.433355,34,Negative,0.9750964045524596,-0.9750964045524596
12.352879,45.433086,35,Negative,0.9602278470993042,-0.9602278470993042
12.358664,45.42978,39,Positive,0.717628002166748,0.717628002166748
12.352505,45.431437,37,Positive,0.7525357604026794,0.7525357604026794
12.355445,45.434636,31,Negative,0.8077620267868042,-0.8077620267868042
12.352999,45.433469,33,Negative,0.8031584024429321,-0.8031584024429321
12.354995,45.433981,39,Positive,0.6153508424758911,0.6153508424758911
