position,title,rating,reviews,type,address,open_state,place_id,gps,link,thumbnail,original
11,Parco giochi pubblico,3.9,69.0,Parco,"Lungomare Gabriele D' Annunzio, 30126 Lido VE, Italia",,ChIJzSWJ96uvfkcRo0AU9EXqKeE,"{'latitude': 45.416466299999996, 'longitude': 12.377246699999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw6Z2EPk2P3Pe68dJp99mzXhF-Yu0lpXLKzfMlJXhCrgUUupZCoJOrfddJpJRAIkeMOQ9jfMlLesO2-50jJx7ES8vBX5-VWpp6zRgaFJzISXXNeHhHUQJQN4FfyJvL5xOlf7ArM=w144-h92-k-no,
12,Parco delle Rimembranze,4.8,4.0,Parco comunale,"Viale Vittorio Veneto, 5, 30132 Venezia VE, Italia",,ChIJQwRPGwCvfkcRbRtSHL0vMcw,"{'latitude': 45.4269404, 'longitude': 12.3591103}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy1XbI6_-QNpc2-C1Luh6TSj_QemXTIVTeCK1OQyHnGOopI5NN09nBC03ITG0oPE8iIi0m-H8UpfZmENYq3mh6eEI0EGmjex9cy6-d_rKdzBkFlZfp8xWJyRc4qePllkI7TSTQWqoh8Y2Bu=w122-h92-k-no,
13,Giardino Margherita Ripamonti,4.4,5.0,Giardino pubblico,"Fondamenta Marco Giustinian, 11, 30141 Venezia VE, Italia",,ChIJYdBU9DKvfkcRnzq-EtqcOTY,"{'latitude': 45.456915099999996, 'longitude': 12.3564017}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzRpkwuVKqj-LEbpUz2pblUs9NRk8ERHgtq0--hH97TKZ0WrK--A5gRPVX9uETLFchUDIndc0sNOc4msXGKM2EJyftjj_MCX2lHag2_20msbV1KbKfAUJ-Xbfqd2SzQd35aMJevmQ=w122-h92-k-no,
14,Giardini Reali,4.5,2379.0,Giardino pubblico,"P.za San Marco, 30124 Venezia VE, Italia",Chiuso ⋅ Apre ven alle ore 09,ChIJMasuBtexfkcRJCxPSAYJlVY,"{'latitude': 45.432983899999996, 'longitude': 12.338291499999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxrFM8MHeEPH8Bw8glH9dwLiY6h6uZx_bfNeMU9knDvxmg9-PtkXsAmgzI0vT89JCvCp8ABAyLQ8NwPJPtimiFHox8AvoEc1aVAtYZvb9htnLnESKuJAXmgdSxX1m6irTr0J8M7eQ=w122-h92-k-no,
15,Campiello delle Erbe,4.1,9.0,Parco,"30100 Venezia VE, Italia",,ChIJE7NVSMWxfkcR6ySS0V24uE8,"{'latitude': 45.43676, 'longitude': 12.330411}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyDacTmKiHzwFUEdsR2H9_rMnfxsp2Lajkg9rHV7CMr4-MKIotdfHCWKBB9YW7GNsZVCJjDWYaEf4X-HP6ZzS9ncyt_bYdPmbn6kawWF9cwrJ-9s1DMHIE3H7OOGebwm8wtltU=w122-h92-k-no,
16,Santa Scolastica,5.0,1.0,Parco,"Corte dei Santi, 30100 Scolastica, VE, Italia",,ChIJgYnCfgCxfkcRZX7_vG7ztBE,"{'latitude': 45.4342407, 'longitude': 12.341187}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyaM2HJT6-4BueHH6T1GixerPW3EcevTe-489VE4fYJIlurCZvdmC6uZEHYnAjL0acPybaRN01hmtffy-xqBarDpHB6JyLmHaKxXwvtO06CduJd70nQBLXpWrsH4veVyQAuHRl8PHChZqw-=w80-h106-k-no,
17,Royal Garden,4.6,12.0,Parco,"30100 Venezia VE, Italia",Chiuso ⋅ Apre ven alle ore 09,ChIJWWUC3UixfkcRh1qGMpqX-gM,"{'latitude': 45.4329859, 'longitude': 12.3382939}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzI8aXB_jWUlFDmSS0H8DE8I7zFiVz7sLP-mQvfa9ASjWQ3XAd87-w0n8zATDTozjFOWd67O3DqwbfYhVODKv3e7y7GrItq1HHzsVQCgQ1PT82PkFyfV_ZmYIJGdtz75SaHgd0M1Rnm0ro=w80-h106-k-no,
18,Campo San Pietro,4.7,121.0,Giardino,"30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJsaKihzmufkcRrk3bQDfBnpE,"{'latitude': 45.4347133, 'longitude': 12.359084399999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxgfk7sTdMkIUHew2LEY5PGeTW1LJsUNEfEv81RyYr-ZCthujc_TB1NgaTv_Y_e06NoIsmiSF4_pUxz95YYSCrkRT-S6ToP7Y8SdHETdDxWffYb3zjxdAktgqBZkLJJWnj6xsy_7A=w122-h92-k-no,
19,Parchetto di Sacca Fisola,4.5,2.0,Parco comunale,"Calle del Teatro in Saca, 10, 30133 Venezia VE, Italia",Aperto 24 ore su 24,ChIJCQ7qZgCxfkcRlbTHDgHEEOA,"{'latitude': 45.4274573, 'longitude': 12.3151257}",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZigD4-GJ-Yr9XBLwkCqc3g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=283.3255&pitch=0&thumbfov=100,
20,Piazza,,,Parco,"Calle Angelo dal Mistro, 30, 30141 Venezia VE, Italia",Aperto 24 ore su 24,ChIJM3ZgeQCvfkcR6hxOQBT43Uk,"{'latitude': 45.4573787, 'longitude': 12.353786699999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxs5GfEac0K2_lswokYWMuOVWKRA99zOLDWPcZ07Iu0wTosh-K4qqiakO_wBD7wA0KaFqZx9KxhRpQVgm4Cys6h2qdEpqJsyn5zYuLxfnyfwV1YztaIXc60lA0wDCsnMEEpLqJe=w197-h92-k-no,
