position,title,rating,reviews,type,address,open_state,place_id,gps,link,thumbnail,original
11,Campo Erberia,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJ6ckDmduxfkcRxPhhF6luqDc,"{'latitude': 45.4388904, 'longitude': 12.33559}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzFWcZhHwUXBHYA8FYpIPhdhS0zxHeVxBOJ_hXzCFOtHWZX625d5CGOWQOJOObYtJAIPqygLqASqsKFEfASuEg7L4_MVkoxaEreRd5kW7VW0O-SoJ5HG_pVaPJG4P_9Tj3Vi2v1=w122-h92-k-no,
12,Campo Sant'Alvise,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJJaMtLuqxfkcR7OtvTHtJDew,"{'latitude': 45.4473377, 'longitude': 12.3288137}",,,
13,Campo San Geremia,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJ85yUBMGxfkcRQCbu-SRQYyk,"{'latitude': 45.442949399999996, 'longitude': 12.3249128}",,,
14,286 Piazza San Marco,5.0,3.0,Hotel,"Calle Larga S. Marco, 286, 30124 Venezia VE, Italia",,ChIJdVefqXCxfkcR_EjXQ9N7SP4,"{'latitude': 45.4350793, 'longitude': 12.3390091}",,https://lh3.googleusercontent.com/p/AF1QipOhRS-t3kkZhmbvpzEr6T5huBG57hrLwhVhm5U0=w137-h92-k-no,
15,Sotoportego del Cavalletto,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJYQ0EWtexfkcRAqa7BAjL66E,"{'latitude': 45.4346421, 'longitude': 12.3367699}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwZrSpllriSz80FJaYByIfTZYnfDvEXzDuZ6m1PIpxxn9El6NHOqQOBLqoIaCKf0iBpwnGd9Z3x_wS9SgcGxNN_VY7LPR-avygiNfU9W4Zcae1UAT07_9BxRxNGZsze_X6bFi0=w163-h92-k-no,
16,Colonna di San Todaro,4.8,164.0,Punto di riferimento storico,"P.za San Marco, 30124 Venezia VE, Italia",Aperto 24 ore su 24,ChIJvQec0eixfkcRoU1yYGcYsTY,"{'latitude': 45.4332857, 'longitude': 12.3396589}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxuv2pSKpjPpk58W-HTOIqORYRMmdRllE89G14VLOAIc_sw4Grcbh_U6BCVB0A_wRSjvgoUEoEHk9B2e_cYQLe0NVzci5lye2CzlJ4kgvWcH7WqFs-U8p_8EDvcJEIpoHjvdF6RAg=w122-h92-k-no,
17,Campo Cesare Battisti già della Bella Vienna,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJC8IBd9uxfkcR27ANgmeGFHg,"{'latitude': 45.4391951, 'longitude': 12.335021999999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwJ3m5z1ZrbmOTMDR9qd5Uv_88oPXrpO3ts7X8Bw6f3DqFg7uyGnctLFUI2rF3ppU5S1wOAw4jIkzmYtGJvuHNHaqcQobANeVrZPWaxWf4ELv0_MZ2ALmHEZZoWVX7n1IcBpdfOsA=w138-h92-k-no,
18,Campo San Lorenzo,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJz6OabSeufkcRtdtYfAWtNOI,"{'latitude': 45.437169, 'longitude': 12.345016999999999}",,,
19,Colonna di San Marco,4.8,411.0,Punto di riferimento storico,"P.zt San Marco, 30100 Venezia VE, Italia",Aperto 24 ore su 24,ChIJ56VPqLWxfkcRaklOR5K79ck,"{'latitude': 45.4333543, 'longitude': 12.3399146}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwvT_Iyx6HcSk7UUEe8kRm3hXNMMYBs4jhkVSUroYA4dibsh221tMIF3V1IJFd_6PgW3gTSJe5BHhGT9GS3yxSVxzzD8Ah4uBRdHAj_W9YmMT00nA7vU3ljO6V-w3-ZgMeXW_w=w122-h92-k-no,
20,Campiello Scoazzera,5.0,1.0,Punto di riferimento storico,"2843, 30125 Venezia VE, Italia",Aperto 24 ore su 24,ChIJkYF9f8WxfkcRJh1FYCB9N9s,"{'latitude': 45.4361835, 'longitude': 12.3276623}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxIRY-m9YBgQM5jmwNYyFggpW6-PGQWD84FbTs9BxbBCmjThKC3Gdqh7WwMgMZ011VV1T_J4L7_FG9ZKi9CkjaRtuJxbJWYlNz5478CImW926-7ybvXtPtNJjxCUKSPKE03NDuL=w122-h92-k-no,
1,Istituzione Fondazione Bevilacqua la Masa - Galleria di Piazza San Marco,4.1,40.0,Galleria d'arte,"P.za San Marco, 71/C, 30124 Venezia VE, Italia",Chiuso ⋅ Apre mer alle ore 10:30,ChIJy3SJqCeufkcRtQQIu-vAusI,"{'latitude': 45.433410599999995, 'longitude': 12.3373451}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz53YKQ2MpVGs1s1WQoxehdiR8Yqk2Ih2n6_VLPzRfd04NlCOkRTewMX1UMLZ81WY5mNJ9kqX8y5sxt8OKcBmyzsCO0DI8L-gKtzZbL_TCDIo9M1AAqBmPK9_ynu00Aiizb34WkKg=w122-h92-k-no,
2,Campo Santa Maria Formosa,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJCzHo-9ixfkcReeC3aL3ELRM,"{'latitude': 45.4373082, 'longitude': 12.3410154}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzNgQE5Jl3simEHtZOYEzkNN-hMYKAhUFEfLXPgeLkJPWZupPtXJ1Bxp3DVwTpElaIEPSP_0dKI-KpH9r3nLDzdcL8a2gpZP_yNft-jPEUYWgd3ZY6R_lNUv39JSjPJ0aH8axM=w122-h92-k-no,
3,Porta della Carta,4.7,334.0,Attrazione turistica,"P.za San Marco, 1, 30124 Venezia VE, Italia",Aperto 24 ore su 24,ChIJY8vTmtexfkcRLBIbtGmblos,"{'latitude': 45.4342465, 'longitude': 12.339820099999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx9VAfmA6jjBbUphTNRtxJMydzNsIStWeyBmg13KcjfkJ_Bi9KeyubK1YgEMESHkTOihomP-hWhdy_kUUuSqNCpSCuvEDIaX9ot5PiHvtkTzra6HW7DMF7HMDJWM6AYT878pqHf=w122-h92-k-no,
4,Campo San Zan Degola,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJTb6H78OxfkcRPSNp3Wy3X8Q,"{'latitude': 45.4414873, 'longitude': 12.327706899999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwvBnqBs4gEsHE6yvZgBLKF14Z5Jxdi3NGBf5NA5Xqb23RRRTX5Zqdi68LI2UsW8utP0qL3FwCc-roUmmaDL7bbrhu1DU-rJ852w4_dlAFDmWPHxLa-bBgMlCZyy_3wp1R8CSDupw=w164-h92-k-no,
5,Campo Santo Stefano,4.4,2720.0,Attrazione turistica,"30124 Venezia VE, Italia",Aperto 24 ore su 24,ChIJkdPdzNGxfkcR6jGx-foE_UE,"{'latitude': 45.433329199999996, 'longitude': 12.3305391}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzvBD2n6jUk2bOOHCP-Oey35TwAg5spl40Ip7mft207ZgG-tXR-GTRGKYuwbVyfrS0yY3kZ_MFjl1HzdlYT0C9_2FKdb2dubE8Y9mS8kayX23R4-0mmK3buKVshJ3E6O4zgz-pQCEs0b_Rq=w122-h92-k-no,
6,Campo Santo Stefano,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJKazOzdGxfkcRzWKh_mJnN60,"{'latitude': 45.433088399999995, 'longitude': 12.3304657}",,,
7,Campo San Marcuola,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJK8lBycOxfkcRnmc_YH_CqXM,"{'latitude': 45.442688499999996, 'longitude': 12.3286673}",,,
8,Palazzo della Zecca,5.0,2.0,Punto di riferimento storico,"P.za San Marco, 7, 30124 Venezia VE, Italia",,ChIJL05godexfkcRXZN4yxStYJA,"{'latitude': 45.4331878, 'longitude': 12.339229}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzwJbIeI7hLsxANI58bACm6yE-IYIwATHIwh17HV1DiH2lZTitbZZ4stOD_T7gHWBmEqq2fiLBhnIBsEa_naglkHUkCuIvWDuqAHKL4bGx0tNm_TdpaSsn4jn2J7ZpXyO-pu8u8TEBJFdOM=w80-h106-k-no,
9,Corte Malipiero,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJOUnShcaxfkcRWutZMKHz4k4,"{'latitude': 45.438982499999995, 'longitude': 12.325185699999999}",,,
10,Campiello Mosca,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJqfb1rsixfkcRMuy5YDWiZ8U,"{'latitude': 45.4359853, 'longitude': 12.3239612}",,,
11,Campo San Barnaba,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJI6Jl6c6xfkcRFNik58kRvhk,"{'latitude': 45.433052599999996, 'longitude': 12.324987199999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyg5oSxlkQjCxpbbHbECyz2BaqH2yM91ddKmLGV6HOYI8OAuVUqYyEaUr4aR7FtqDgToo6mNhS5L52uwz86_Kaw5o6oNGmrVRh_b2Ma17kVRYyHdBkqtEU1k__BuGqCxffIHw3AbA=w152-h92-k-no,
12,Palazzo Soranzo,4.6,48.0,Attrazione turistica,"S. Polo, 2170, 30124 Venezia VE, Italia",,ChIJpwcaStixfkcRuZ-9z9F_CF8,"{'latitude': 45.437809099999996, 'longitude': 12.330341599999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxqH57zgKqPKOAwsWjUrgHp4qmas4H9iIxAHeErWvUhpXbndNfA0pH2RlMjO1ioDXCJbFdKlJ3GQO42eLJlq5HL4sQYVciRbLZm_lVn5yBtDMXQFn-xknkxH5XMghkOeguNRAYh=w122-h92-k-no,
13,Campo San Beneto,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJ-VYHdtCxfkcRpQ1lTNFCNvo,"{'latitude': 45.4354751, 'longitude': 12.3323555}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw7tOUqyg9_xmD9eytK3S0XYY1sBBPoHL7HXjGFGwjzeZCvlzvpWF9haVTGBs8SNbwMgLSduikBLpB0DdJcVXyP7Urn0yYJYF3FDfF8eAtrdsvy0qVgmpxon7PMlzosPVHp_Q8l=w80-h92-k-no-pi-25.77861-ya11.894936-ro-0-fo100,
14,Campo Manin,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJ85IaeNqxfkcRaizXB4f-muE,"{'latitude': 45.4353498, 'longitude': 12.3343556}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzEpECJdwZBwL2tEXnReNfZGQiukHjdv4Vjg54GyJiNGHu3799jNznujteaeClQiNxyc9TQBQN-Nsh-6aBR0xcfT32eqOIsPHPfriIC2Ul_Uwupf2uYr8HsqFvMQVfH9QiRVzsM=w109-h92-k-no,
