position,title,rating,reviews,type,address,open_state,place_id,gps,link,thumbnail,original
1,Campo San Pietro,4.7,121.0,Giardino,"30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJsaKihzmufkcRrk3bQDfBnpE,"{'latitude': 45.4347133, 'longitude': 12.359084399999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxonjD1FfWGikmzWykftrS0Edm7WhXKGM0hlOifQvVWTp2cSgNPPcOgpGHrKXukBZSIs6MtZSH0Yx-o4GCrJU_3bBuNNxrqAVARuCEUQCti1ov-YcR_J-sQFbrYg-W75EdgAcs9=w80-h106-k-no,
2,Il Giardino Di Pippo,5.0,2.0,Negozio,"Ruga dei Oresi, 64, 30125 Venezia VE, Italia",Aperto ⋅ Chiude alle ore 19,ChIJsars5c6xfkcRe2xS42PNTmc,"{'latitude': 45.4387104, 'longitude': 12.3349966}",,https://lh3.googleusercontent.com/p/AF1QipNIiWl1lAjPi5D0K-ptWklvBLbgru-BwnMtK3Vd=w122-h92-k-no,
3,Albero di mimosa,5.0,2.0,Giardino,"Rio Terà de le Carampane, 1898, 30125 Venezia VE, Italia",,ChIJL6gHLQCxfkcRrssqQjrX9yw,"{'latitude': 45.4385488, 'longitude': 12.331452599999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwpkREZXmTkedLux1aQsjC7GYEE9vckzWXlO5olYNwfnK2b1w3GtMKAGeN6HReMaLgBhnW0CQXjdlZlXkc7QdFrF3_iydHRQm3AZGi-ebVudQH7k50qixY4gSeXPijQqP5CK6esjQ=w80-h106-k-no,
4,"Giardini ""A""",3.9,15.0,Terminal traghetti,"30100 Venezia VE, Italia",,ChIJVXdRuzGufkcRfPI74ZBb9t4,"{'latitude': 45.429759999999995, 'longitude': 12.354997}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx79lhQi0mOLUgLoaU5WbPkpHB5Ge4ODuAt3vyONeYfaqCfCiVzgH0CBC8yrBwkQoXay3MNV--uiKXyU-nGGoQNdNhASDsiJ9r0n9gofO1TMdWioVlyusQykQyW93n2FXBwbBBamg=w189-h92-k-no,
5,Al Giardinetto da Severino,4.4,1969.0,Ristorante italiano,"Salizada Zorzi, 4928, 30122 Venezia VE, Italia",Chiuso ⋅ Apre alle ore 19,ChIJucDzX9ixfkcR5gIcJ20miTU,"{'latitude': 45.4360802, 'longitude': 12.342666399999999}",,https://lh3.googleusercontent.com/p/AF1QipOoVeXmqsJYZD5xPAItSvToy4wpk6KaTJBi1_9s=w138-h92-k-no,
6,𝐺𝘢𝘳𝘥𝘦𝘯 𝐨𝐟 𝘁𝗵𝘦 𝗴𝘰𝗱𝘴,5.0,1.0,Giardino,"30100 Venezia VE, Italia",Aperto 24 ore su 24,ChIJK1avFQCxfkcRmfMGxR9jSEA,"{'latitude': 45.440847399999996, 'longitude': 12.315515099999999}",,,
7,Campo Stringari,4.7,11.0,Giardino,"Castello, 30132, VE, Italia",Aperto 24 ore su 24,ChIJu_Zp1jWufkcRwPSRrP6fvZE,"{'latitude': 45.4274394, 'longitude': 12.3614514}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzCzsvuoem9TyONm3mmjyr_OYHBzTgQtqC_tzWh5T3UJgLQksEcqbRN4Clzp38YkWecxn8BG6zNoy8sseAzUpxIEA8NcbY5fM7-Z9WWHopMpyXWbMd9Wqkwg2KMeM9P_R5_0O_2=w122-h92-k-no,
8,Ex Orto Botanico,5.0,1.0,Giardino botanico,"Calle de la Cereria, 734, 30121 Venezia VE, Italia",,ChIJFbKnNxyxfkcR9alcea1aT9Q,"{'latitude': 45.4439132, 'longitude': 12.3186196}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx5CQx48GwyVPV-gnWNha-x5KkcMqsCL1ucQbLwR39clvy6o7lxpe2lktk_kLeIrX4F4e3Er6ShWHfZpSn2lMXWxiky9DG3rqX2Lsiy3t1TAe7UIsI9DOCwaBfxqjsPVl8vIcHg=w80-h106-k-no,
9,Caffè La Serra,4.2,1808.0,Caffè,"Via Giuseppe Garibaldi, 1254, 30122 Venezia VE, Italia",Aperto ⋅ Chiude alle ore 20,ChIJCyqRDTCufkcRRl6tW0Q_Ogw,"{'latitude': 45.4307856, 'longitude': 12.355386}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwItFRAcqGjpmWSM382hVD0lPUnOA9Y1cCo5vNqmd7ir7Ti0TMrTYhEuVlFbvE5sVcvM36Prx8bGJMR_Vf-S8C8EAnscDbkVEzfJTP8Phv0dD8cV2TWZNEUKpscPdtQs459c1qi=w122-h92-k-no,
10,Giardino comunale,,,Parco,"30133 Venezia VE, Italia",,ChIJAQDAhiuwfkcRb54mp_-fc4c,"{'latitude': 45.4232659, 'longitude': 12.3315849}",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BYHsaFBKZkBVktyznQkdUw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=107.13877&pitch=0&thumbfov=100,
